"id","bin","behav","prop","param"
"1_1",1,"1",0.0487347747896847,"Step Length"
"1_1",2,"1",0.0625984725054739,"Step Length"
"1_1",3,"1",0.115567297551293,"Step Length"
"1_1",4,"1",0.443188207284311,"Step Length"
"1_1",5,"1",0.329911247869237,"Step Length"
"1_1",1,"2",0.539270195640667,"Step Length"
"1_1",2,"2",0.3899811648462,"Step Length"
"1_1",3,"2",0.0677476747475534,"Step Length"
"1_1",4,"2",0.00216122514558649,"Step Length"
"1_1",5,"2",0.000839739619993088,"Step Length"
"1_1",1,"3",0.00298271648687402,"Step Length"
"1_1",2,"3",0.257591514165367,"Step Length"
"1_1",3,"3",0.733881208446835,"Step Length"
"1_1",4,"3",0.00392881545817416,"Step Length"
"1_1",5,"3",0.00161574544274928,"Step Length"
"1_1",1,"1",0.0476127245607948,"Turning Angle"
"1_1",2,"1",0.0374271270556155,"Turning Angle"
"1_1",3,"1",0.0758397807128691,"Turning Angle"
"1_1",4,"1",0.35223109179332,"Turning Angle"
"1_1",5,"1",0.360457928580338,"Turning Angle"
"1_1",6,"1",0.051212964354666,"Turning Angle"
"1_1",7,"1",0.0244636870321182,"Turning Angle"
"1_1",8,"1",0.0507546959102787,"Turning Angle"
"1_1",1,"2",0.432359541423389,"Turning Angle"
"1_1",2,"2",0.0286108454270444,"Turning Angle"
"1_1",3,"2",0.00908383357375431,"Turning Angle"
"1_1",4,"2",0.00169846098421355,"Turning Angle"
"1_1",5,"2",0.00435328521581046,"Turning Angle"
"1_1",6,"2",0.0146023780849925,"Turning Angle"
"1_1",7,"2",0.0390540011395436,"Turning Angle"
"1_1",8,"2",0.470237654151253,"Turning Angle"
"1_1",1,"3",0.109237763916436,"Turning Angle"
"1_1",2,"3",0.227537453839586,"Turning Angle"
"1_1",3,"3",0.125361908783363,"Turning Angle"
"1_1",4,"3",0.0380950072930438,"Turning Angle"
"1_1",5,"3",0.0180735586937933,"Turning Angle"
"1_1",6,"3",0.126598615300222,"Turning Angle"
"1_1",7,"3",0.180968082262801,"Turning Angle"
"1_1",8,"3",0.174127609910754,"Turning Angle"
"2_1",1,"1",0.509847069198993,"Step Length"
"2_1",2,"1",0.372981618674536,"Step Length"
"2_1",3,"1",0.113141135496303,"Step Length"
"2_1",4,"1",0.00212779903516687,"Step Length"
"2_1",5,"1",0.00190237759500065,"Step Length"
"2_1",1,"2",0.00113570034811397,"Step Length"
"2_1",2,"2",0.00665984761683722,"Step Length"
"2_1",3,"2",0.0405397769559214,"Step Length"
"2_1",4,"2",0.558663166884595,"Step Length"
"2_1",5,"2",0.393001508194532,"Step Length"
"2_1",1,"3",0.00173603204657926,"Step Length"
"2_1",2,"3",0.311416593364083,"Step Length"
"2_1",3,"3",0.676122307396216,"Step Length"
"2_1",4,"3",0.00857681645578409,"Step Length"
"2_1",5,"3",0.00214825073733743,"Step Length"
"2_1",1,"1",0.400406434501884,"Turning Angle"
"2_1",2,"1",0.0753512742827988,"Turning Angle"
"2_1",3,"1",0.00269393581388818,"Turning Angle"
"2_1",4,"1",0.00701452911095442,"Turning Angle"
"2_1",5,"1",0.00685065546337386,"Turning Angle"
"2_1",6,"1",0.00943908816423024,"Turning Angle"
"2_1",7,"1",0.0579350267499891,"Turning Angle"
"2_1",8,"1",0.440309055912882,"Turning Angle"
"2_1",1,"2",0.00129422136730072,"Turning Angle"
"2_1",2,"2",0.00498906925125291,"Turning Angle"
"2_1",3,"2",0.0561056360869978,"Turning Angle"
"2_1",4,"2",0.382782591079423,"Turning Angle"
"2_1",5,"2",0.485430387190589,"Turning Angle"
"2_1",6,"2",0.0407430615207445,"Turning Angle"
"2_1",7,"2",0.0167107668782363,"Turning Angle"
"2_1",8,"2",0.0119442666254553,"Turning Angle"
"2_1",1,"3",0.1555140157033,"Turning Angle"
"2_1",2,"3",0.0892072217280927,"Turning Angle"
"2_1",3,"3",0.131811407789837,"Turning Angle"
"2_1",4,"3",0.121673177001108,"Turning Angle"
"2_1",5,"3",0.136313241239193,"Turning Angle"
"2_1",6,"3",0.129535441505243,"Turning Angle"
"2_1",7,"3",0.106378119459332,"Turning Angle"
"2_1",8,"3",0.129567375573894,"Turning Angle"
"3_1",1,"1",0.0244181355537063,"Step Length"
"3_1",2,"1",0.237450916437443,"Step Length"
"3_1",3,"1",0.567028087396184,"Step Length"
"3_1",4,"1",0.128523433602,"Step Length"
"3_1",5,"1",0.042579427010667,"Step Length"
"3_1",1,"2",0.560148249880302,"Step Length"
"3_1",2,"2",0.373240762652426,"Step Length"
"3_1",3,"2",0.00352772121478304,"Step Length"
