,x,y,SL,TA,behav_fine,behav_coarse,HMM state,BCPA fine cluster,BCPA coarse cluster
1,0,0,NA,NA,NA,NA,NA,NA,NA
2,-0.030268413,-0.03604397,0.047067448,-2.269317517,Resting,Resting,Resting,NA,NA
3,-12.92508861,-10.7751249,16.78106812,-0.177839119,Transit,Resting,Transit,1,1
4,-12.89167329,-10.72274508,0.062130743,-2.833084658,Resting,Resting,Resting,1,1
5,-13.2619517,-11.17600692,0.585279761,3.024472107,Resting,Resting,Resting,1,1
6,-16.17103591,-18.05301972,7.466999124,0.284784155,Transit,Resting,Transit,1,1
7,-16.15125554,-18.01066136,0.046749255,3.104899603,Resting,Resting,Resting,1,1
8,-16.15123868,-18.0107259,6.67E-05,-2.449132148,Resting,Resting,Resting,1,1
9,-16.15137286,-18.01040494,0.000347875,-3.001205654,Resting,Resting,Resting,1,1
10,-15.88528853,-18.26605708,0.368997131,-2.732167761,Resting,Resting,Resting,1,1
11,-15.90337139,-18.24904498,0.02482743,-3.131084221,Resting,Resting,Resting,1,1
12,-15.90034857,-18.25248533,0.004579681,3.046579996,Resting,Resting,Resting,1,1
13,-18.1726911,-18.02184265,2.28401765,-2.392836284,Resting,Resting,Resting,1,1
14,-18.34963441,-17.98708807,0.180324202,-0.092793926,Resting,Resting,Resting,1,1
15,-18.28793742,-17.99880278,0.062799314,-3.135286366,Resting,Resting,Resting,1,1
16,-19.26273674,-17.63570852,1.040226494,2.972673395,Resting,Resting,Resting,1,1
17,-19.24023254,-17.62876157,0.023552045,-2.485616961,Resting,Resting,Resting,1,1
18,-19.24025389,-17.62876324,2.14E-05,2.920113007,Resting,Resting,Resting,1,1
19,-28.10849267,-22.22281495,9.987540746,0.400035119,Transit,Resting,Transit,1,1
20,-28.02778067,-22.2056399,0.082519143,2.873288844,Resting,Resting,Resting,1,1
21,-28.03204644,-22.1863997,0.019707412,1.579310995,Resting,Resting,Resting,1,1
22,-28.0078604,-22.31753103,0.133343135,3.105802564,Resting,Resting,Resting,1,1
23,-28.00798481,-22.31644577,0.001092374,3.073336782,Resting,Resting,Resting,1,1
24,-27.87319629,-22.94940014,0.647146957,-3.045911032,Resting,Resting,Resting,1,1
25,-27.87331541,-22.94876493,0.00064628,3.117152636,Resting,Resting,Resting,1,1
26,-26.81735936,-24.05358525,1.528290262,-2.564182079,Resting,Resting,Resting,1,1
27,-21.19982848,-33.27415846,10.79701919,-0.215602752,Transit,Resting,Transit,1,1
28,-21.14649468,-30.47376042,2.800905866,2.575364826,Exploratory,Resting,Resting,1,1
29,-20.56458446,-31.3189617,1.026150432,-2.519592514,Resting,Resting,Resting,1,1
30,-20.56452227,-31.31889694,8.98E-05,1.773480659,Resting,Resting,Resting,1,1
31,-20.58323907,-31.34107991,0.029024174,-3.07729035,Resting,Resting,Resting,1,1
32,-19.58042756,-36.1118297,4.875006098,0.908036049,Exploratory,Resting,Transit,1,1
33,-19.57500757,-35.80214733,0.309729795,2.916908935,Resting,Resting,Resting,1,1
34,-19.50310128,-35.83360943,0.078488081,-1.965743013,Resting,Resting,Resting,1,1
35,-19.50312536,-35.83353581,7.75E-05,2.299363413,Resting,Resting,Resting,1,1
36,-19.19505063,-35.71342418,0.330661217,-1.515166329,Resting,Resting,Resting,1,1
37,-19.19505088,-35.71342425,2.55E-07,3.051654376,Resting,Resting,Resting,1,1
38,-19.18511273,-35.7065953,0.012058247,-2.821358985,Resting,Resting,Resting,1,1
39,-19.5408353,-35.93109667,0.420641674,3.102530429,Resting,Resting,Resting,1,1
40,-19.53476042,-35.92880215,0.006493766,2.939750255,Resting,Resting,Resting,1,1
41,-19.58196979,-35.94607137,0.05026878,3.131132624,Resting,Resting,Resting,1,1
42,-19.58192288,-35.94607193,4.69E-05,2.778871438,Resting,Resting,Resting,1,1
43,-19.58204413,-35.94606015,0.000121814,3.056786787,Resting,Resting,Resting,1,1
44,-17.63493197,-35.45748807,2.007473145,-2.798901045,Exploratory,Resting,Resting,1,1
45,-5.596789137,-28.83184999,13.74103209,0.25729467,Transit,Resting,Transit,1,1
46,-5.596789137,-28.83184999,1.23E-10,2.75546619,Resting,Resting,Resting,1,1
47,-5.584651045,-28.83079579,0.012183784,3.111211831,Resting,Resting,Resting,1,1
48,-0.442274149,-34.65441466,7.769078247,-0.934074606,Transit,Resting,Transit,1,1
49,-0.533801638,-34.4786103,0.198203057,2.898246107,Resting,Resting,Resting,1,1
50,-0.435341963,-34.7427949,0.281935825,3.018330747,Resting,Resting,Resting,1,1
51,-0.672076878,-34.80912553,0.245851931,-1.654358268,Resting,Resting,Resting,1,1
52,-0.668621991,-34.80940225,0.00346595,2.788484183,Resting,Resting,Resting,1,1
53,-0.669209841,-34.80941342,0.000587956,-3.042658214,Resting,Resting,Resting,1,1
54,1.681389729,-34.99315414,2.357769919,3.04457334,Resting,Resting,Resting,1,1
55,1.667542233,-34.99210615,0.013887096,-3.139120612,Resting,Resting,Resting,1,1
56,-6.668885415,-38.58411802,9.077366093,0.482378637,Transit,Resting,Transit,1,1
57,-4.62654634,-45.58296912,7.290752062,1.447881392,Transit,Resting,Transit,1,1
58,-2.353961276,-54.21926695,8.930301397,-0.026616581,Transit,Resting,Transit,1,1
59,-2.353406914,-54.19750721,0.021766793,2.858811451,Resting,Resting,Resting,1,1
60,-2.488333246,-54.6152944,0.439034447,2.854682786,Exploratory,Resting,Resting,1,1
61,-2.483762012,-54.60307511,0.013046343,3.095992143,Resting,Resting,Resting,1,1
62,-2.560101342,-54.60299782,0.076339369,1.927765193,Resting,Resting,Resting,1,1
63,-2.551588171,-54.6029396,0.008513371,-3.133741634,Resting,Resting,Resting,1,1
64,-1.511640599,-52.66065039,2.203174604,1.072374512,Exploratory,Resting,Exploratory,1,1
65,3.82351069,-37.7775646,15.81044218,0.147382175,Transit,Resting,Transit,1,1
66,3.958507257,-38.06024723,0.31326274,-2.351860405,Resting,Resting,Resting,1,1
67,3.954946683,-38.03955434,0.020996984,2.866460507,Resting,Resting,Resting,1,1
68,4.237805094,-38.4233839,0.476795565,-2.676903024,Resting,Resting,Resting,2,1
69,4.224621434,-38.4136193,0.016405983,-2.843380994,Resting,Resting,Resting,2,1
70,4.224647461,-38.41350732,0.00011497,-1.161664432,Resting,Resting,Resting,2,1
71,4.205748399,-38.43805373,0.03097904,2.713820981,Resting,Resting,Resting,2,1
72,3.613051674,-37.23171341,1.344078264,-2.028778871,Resting,Resting,Exploratory,2,1
73,4.08166922,-38.6059611,1.451950114,3.013548743,Exploratory,Resting,Exploratory,2,1
74,4.012382606,-37.95451123,0.655124089,2.918917857,Resting,Resting,Exploratory,2,1
75,1.640039336,-37.79647983,2.377601,1.398321327,Exploratory,Resting,Exploratory,2,1
76,2.292442113,-37.66720913,0.665086685,-2.879465078,Resting,Resting,Exploratory,2,1
77,1.242720901,-37.20554782,1.146754457,2.531646415,Resting,Resting,Exploratory,2,1
78,1.288704452,-37.1152432,0.101338108,-1.627446207,Resting,Resting,Exploratory,2,1
79,1.039724344,-44.26999028,7.159077934,-2.705393578,Transit,Resting,Exploratory,2,1
80,1.040997497,-44.26457443,0.005563483,2.945491017,Resting,Resting,Resting,2,1
81,1.030743777,-44.28821793,0.025771182,2.963279616,Resting,Resting,Resting,2,1
82,1.040207863,-44.27134323,0.019347462,3.03966133,Resting,Resting,Resting,2,1
83,0.991797795,-44.36205633,0.102822179,-3.120674028,Resting,Resting,Resting,2,1
84,0.991854351,-44.36203806,5.94E-05,2.373474391,Resting,Resting,Resting,2,1
85,0.980148181,-44.35984474,0.011909873,2.64391039,Resting,Resting,Resting,2,2
86,1.376792979,-44.31554364,0.399111116,-2.845147208,Resting,Resting,Resting,2,2
87,1.057552642,-44.32298158,0.319326973,3.053658691,Resting,Resting,Resting,2,2
88,1.064031329,-44.32899257,0.008837728,2.370328688,Resting,Resting,Resting,2,2
89,1.055159353,-44.34111082,0.015018782,-1.454784636,Resting,Resting,Resting,2,2
90,1.115318409,-44.2618192,0.099530263,3.124500349,Resting,Resting,Resting,2,2
91,1.094801222,-44.28449101,0.030577216,3.055091459,Resting,Resting,Resting,2,2
92,1.066531965,-44.25929208,0.037869999,-1.563282856,Resting,Resting,Resting,2,2
93,1.059191585,-44.26842913,0.011720355,1.622044568,Resting,Resting,Resting,2,2
94,-0.687710004,-44.95533784,1.877101153,-0.519362937,Exploratory,Resting,Resting,2,2
95,-0.683239367,-44.95559629,0.004478101,2.709201385,Resting,Resting,Resting,2,2
96,-0.748345025,-44.96994908,0.066668953,-2.86686229,Resting,Resting,Resting,2,2
97,-0.655604107,-45.05179187,0.123689612,2.201554031,Resting,Resting,Resting,2,2
98,7.651570827,-58.34292387,15.6736513,-0.289129708,Transit,Resting,Transit,2,2
99,7.650855725,-58.34087206,0.00217285,2.918340186,Resting,Resting,Resting,2,2
100,7.650855725,-58.34087206,2.07E-15,2.420090528,Resting,Resting,Resting,2,2
101,7.63016702,-58.44663902,0.107771389,0.192976019,Resting,Resting,Exploratory,2,2
102,7.521252266,-58.52273589,0.132865186,-0.767787408,Exploratory,Exploratory,Exploratory,2,2
103,6.572718086,-57.48506789,1.405870539,-1.440086008,Exploratory,Exploratory,Exploratory,2,2
104,6.121298511,-54.68987604,2.831409034,-0.580435628,Exploratory,Exploratory,Exploratory,2,2
105,5.300214071,-55.73878964,1.332065841,2.317314778,Exploratory,Exploratory,Exploratory,2,2
106,7.486968357,-54.52554014,2.500773612,2.741492413,Exploratory,Exploratory,Exploratory,2,2
