id,x,y,date,burst,state
SNAI01,463668.6661,3123776.07,5/27/2019 7:01,SNAI01.1,2
SNAI01,464178.8416,3124368.973,5/27/2019 8:00,SNAI01.1,2
SNAI01,463712.7571,3123757.435,5/27/2019 9:04,SNAI01.1,1
SNAI01,463712.7459,3123753.779,5/27/2019 10:00,SNAI01.1,1
SNAI01,463716.0511,3123775.926,5/27/2019 11:00,SNAI01.1,1
SNAI01,463707.863,3123761.106,5/27/2019 12:00,SNAI01.1,1
SNAI01,463667.0264,3123785.27,5/27/2019 13:00,SNAI01.1,1
SNAI01,463667.083,3123803.771,5/27/2019 14:03,SNAI01.1,1
SNAI01,463673.6954,3123816.601,5/27/2019 15:00,SNAI01.1,1
SNAI01,463711.1062,3123762.979,5/27/2019 16:00,SNAI01.1,1
SNAI01,463716.0903,3123788.776,5/28/2019 7:00,SNAI01.1,1
SNAI01,463717.685,3123764.842,5/28/2019 8:00,SNAI01.1,1
SNAI01,463671.9375,3123787.138,5/28/2019 9:00,SNAI01.1,1
SNAI01,463712.8528,3123788.786,5/28/2019 10:00,SNAI01.1,1
SNAI01,463662.2286,3123820.403,5/28/2019 11:00,SNAI01.1,1
SNAI01,463654.0743,3123816.661,5/28/2019 12:00,SNAI01.1,1
SNAI01,463667.0715,3123800.004,5/28/2019 13:00,SNAI01.1,1
SNAI01,463721.0183,3123796.183,5/28/2019 14:00,SNAI01.1,1
SNAI01,463593.6171,3123840.886,5/28/2019 15:00,SNAI01.1,1
SNAI01,463706.3025,3123796.228,5/28/2019 16:03,SNAI01.1,1
SNAI01,463613.2551,3123846.365,5/29/2019 7:00,SNAI01.1,1
SNAI01,463681.8042,3123805.498,5/29/2019 8:00,SNAI01.1,1
SNAI01,463591.8702,3123815.079,5/29/2019 9:00,SNAI01.1,1
SNAI01,463727.6194,3123805.358,5/29/2019 10:00,SNAI01.1,1
SNAI01,463696.5596,3123818.414,5/29/2019 11:00,SNAI01.1,1
SNAI01,463715.9888,3123755.542,5/29/2019 12:00,SNAI01.1,1
SNAI01,463673.5883,3123781.594,5/29/2019 13:00,SNAI01.1,1
SNAI01,463647.3603,3123770.596,5/29/2019 14:03,SNAI01.1,1
SNAI01,463709.4272,3123759.329,5/29/2019 15:00,SNAI01.1,1
SNAI01,463606.6084,3123822.345,5/29/2019 16:00,SNAI01.1,1
SNAI01,463671.9205,3123781.599,5/30/2019 7:01,SNAI01.1,1
SNAI01,463673.5826,3123779.711,5/30/2019 8:00,SNAI01.1,1
SNAI01,463715.8988,3123726.074,5/30/2019 9:00,SNAI01.1,1
SNAI01,463606.5914,3123816.806,5/30/2019 10:00,SNAI01.1,2
SNAI01,465031.9347,3123103.526,5/30/2019 11:00,SNAI01.1,2
SNAI01,463706.1671,3123751.916,5/30/2019 12:00,SNAI01.1,1
SNAI01,463716.0227,3123766.62,5/30/2019 13:03,SNAI01.1,1
SNAI01,463622.9865,3123820.523,5/30/2019 14:00,SNAI01.1,1
SNAI01,463714.3945,3123779.586,5/30/2019 15:00,SNAI01.1,1
SNAI01,463650.6994,3123803.821,5/30/2019 16:00,SNAI01.1,1
SNAI01,463711.2189,3123799.869,5/31/2019 7:00,SNAI01.1,1
SNAI01,463711.112,3123764.862,5/31/2019 8:00,SNAI01.1,1
SNAI01,463684.7369,3123705.786,5/31/2019 9:00,SNAI01.1,2
SNAI01,462824.4598,3123117.65,5/31/2019 10:00,SNAI01.1,2
SNAI01,463725.8109,3123759.279,5/31/2019 11:00,SNAI01.1,1
SNAI01,463709.3426,3123731.633,5/31/2019 12:00,SNAI01.1,1
SNAI01,463722.748,3123816.451,5/31/2019 13:01,SNAI01.1,1
SNAI01,463760.1648,3123764.713,5/31/2019 14:00,SNAI01.1,1
SNAI01,463684.9459,3123774.137,5/31/2019 16:03,SNAI01.1,1
SNAI01,463699.4078,3123691.007,6/1/2019 7:01,SNAI01.1,1
SNAI01,463670.2527,3123781.605,6/1/2019 8:00,SNAI01.1,1
SNAI01,463657.2894,3123809.34,6/1/2019 9:00,SNAI01.1,1
